time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1978-12-31T21:04:03.410Z,35.3348333,-118.9525,6,2.9,ml,16,114,,0.31,ci,ci3345105,2016-02-01T21:55:05.790Z,"8km ESE of Bakersfield, CA",earthquake,0.77,31.61,0.307,3,reviewed,ci,ci
1978-12-31T17:45:40.250Z,31.7188333,-115.997,6,2.65,mh,8,317,0.9335,0.31,ci,ci3345104,2016-02-01T22:28:40.170Z,"54km E of Maneadero, B.C., MX",earthquake,1.56,31.61,0.186,11,reviewed,ci,ci
1978-12-31T12:06:37.300Z,38.048,-118.8756667,4.777,3.2,ml,36,112,0.08018,0.17,nc,nc1043949,2016-12-15T23:32:00.190Z,"23 km E of Mono City, California",earthquake,0.43,0.99,,0,reviewed,nc,nc
1978-12-31T12:06:37.030Z,38.249,-117.5043333,6,3.06,ml,2,357,1.863,0.08,ci,ci3345100,2016-02-01T21:38:26.980Z,"31km NW of Tonopah, NV",earthquake,11.46,31.61,0.273,3,reviewed,ci,ci
1978-12-31T07:14:26.740Z,41.0703333,-123.3981667,39.172,2.68,md,13,283,0.3189,0.07,nc,nc1043946,2016-12-15T23:31:43.920Z,"24 km NNE of Trinity Village, California",earthquake,2.8,0.52,,1,reviewed,nc,nc
1978-12-31T03:23:47.100Z,47.595,-121.8438333,17.727,4.2,md,24,75,0.1379,0.32,uw,uw10848633,2020-09-21T18:42:19.828Z,"4 km NE of Fall City, Washington",earthquake,1.068,1.82,0.06,5,reviewed,uw,uw
1978-12-29T18:30:39.040Z,32.2771667,-117.5516667,6,2.88,ml,14,288,0.7217,0.4,ci,ci3345079,2016-02-01T22:11:33.790Z,"49km W of Rosarito, B.C., MX",earthquake,1.58,31.61,0.158,2,reviewed,ci,ci
1978-12-29T04:26:45.250Z,37.4418333,-118.3798333,19.979,2.97,md,12,271,0.5171,0.23,nc,nc1043918,2016-12-15T23:29:47.944Z,"6 km NNE of Dixon Lane-Meadow Creek, California",earthquake,3,1.15,0.24,6,reviewed,nc,nc
1978-12-28T12:18:58.790Z,47.3076667,-123.1586667,40.28,3.4,md,16,92,0.127,0.16,uw,uw10848623,2016-07-25T00:37:02.370Z,"Olympic Peninsula, Washington",earthquake,0.768,0.54,0.09,4,reviewed,uw,uw
1978-12-28T07:29:14.290Z,36.8353333,-121.4095,8.87,2.76,md,49,40,0.02072,0.1,nc,nc1043909,2016-12-15T23:29:12.310Z,"2 km SSW of Hollister, California",earthquake,0.19,0.38,0.14,13,reviewed,nc,nc
1978-12-28T06:00:26.440Z,31.641,-116.0043333,1.72,2.5,mh,6,279,1.181,0.57,ci,ci3345045,2016-02-01T21:20:53.560Z,"54km E of Maneadero, B.C., MX",earthquake,7.63,35.48,,0,reviewed,ci,ci
1978-12-27T11:31:17.870Z,36.0781667,-120.6358333,4.416,2.95,md,31,50,0.03333,0.1,nc,nc1043901,2016-12-15T23:28:41.250Z,"25 km ENE of San Ardo, California",earthquake,0.26,0.51,0.14,23,reviewed,nc,nc
1978-12-27T06:28:25.720Z,34.3088333,-116.3013333,4.03,2.6,mh,39,49,0.1198,0.23,ci,ci3345032,2016-02-01T21:20:52.050Z,"19km N of Joshua Tree, CA",earthquake,0.33,0.81,0.278,14,reviewed,ci,ci
1978-12-27T05:50:23.210Z,33.9791667,-116.8475,15.44,2.69,ml,41,29,0.06483,0.24,ci,ci3345030,2016-02-01T23:21:48.050Z,"6km NNE of Banning, CA",earthquake,0.27,0.41,0.299,2,reviewed,ci,ci
1978-12-26T22:42:58.030Z,40.2866667,-124.4311667,11.702,2.67,md,14,255,0.1532,0.13,nc,nc1043893,2016-12-15T23:28:01.261Z,"35 km SSW of Ferndale, California",earthquake,1.99,0.92,,1,reviewed,nc,nc
1978-12-26T10:53:47.750Z,37.6075,-121.4016667,1.816,2.69,md,52,97,0.1883,0.11,nc,nc1043887,2016-12-15T23:27:37.360Z,"14 km S of Tracy, California",earthquake,0.2,1.93,0.08,9,reviewed,nc,nc
1978-12-26T02:33:33.090Z,32.6021667,-117.3178333,6.07,2.9,mh,31,223.5,0.3421,0.32,ci,ci3345017,2016-02-01T21:20:51.520Z,"16km SW of Coronado, CA",earthquake,1.17,1.49,0.262,15,reviewed,ci,ci
1978-12-25T10:25:32.070Z,35.4795,-118.4998333,6.08,2.88,ml,28,98.1,,0.32,ci,ci3314351,2016-02-01T21:54:58.530Z,"12km S of Bodfish, CA",earthquake,0.69,2.02,0.261,5,reviewed,ci,ci
1978-12-25T03:13:03.700Z,31.618,-115.7903333,6,2.88,mh,9,303,1.03,0.47,ci,ci3314348,2016-02-01T21:20:50.570Z,"74km E of Maneadero, B.C., MX",earthquake,2.92,31.61,0.295,9,reviewed,ci,ci
1978-12-23T03:00:08.040Z,33.9938333,-116.8988333,10.93,2.62,ml,46,39,0.0835,0.26,ci,ci3314319,2016-02-01T21:20:49.050Z,"8km NNW of Banning, CA",earthquake,0.28,0.66,0.219,4,reviewed,ci,ci
1978-12-22T09:33:44.500Z,40.2246667,-124.1561667,8.994,2.69,md,13,189,0.1964,0.14,nc,nc1043837,2016-12-15T23:24:34.333Z,"22 km WSW of Weott, California",earthquake,0.94,1.41,,1,reviewed,nc,nc
1978-12-21T15:21:31.670Z,31.8073333,-116.0638333,6,2.54,mh,8,304,0.8412,0.24,ci,ci3314292,2016-02-01T22:46:32.570Z,"49km ENE of Maneadero, B.C., MX",earthquake,1.76,31.61,0.288,5,reviewed,ci,ci
1978-12-21T09:42:26.840Z,32.2165,-115.313,6,2.78,ml,19,231,0.4809,0.74,ci,ci3314289,2016-02-01T22:11:29.490Z,"14km W of Alberto Oviedo Mota, B.C., MX",earthquake,3.3,31.61,0.329,3,reviewed,ci,ci
1978-12-20T13:46:22.600Z,42.118,-112.493,6,3.9,ml,,,,,us,usp0000y0g,2014-11-06T23:21:55.022Z,"21 km WSW of Malad City, Idaho",earthquake,,,,,reviewed,u,slc
1978-12-20T04:14:30.970Z,35.6041667,-117.5363333,4.32,2.94,ml,13,129,0.2169,0.31,ci,ci3314273,2016-02-01T22:46:31.580Z,"13km E of Ridgecrest, CA",earthquake,0.83,2.38,0.257,8,reviewed,ci,ci
1978-12-19T22:04:49.080Z,40.4896667,-124.281,18.752,2.79,md,13,179,0.06036,0.07,nc,nc1043806,2016-12-15T23:22:25.267Z,"9 km S of Ferndale, California",earthquake,0.75,0.32,,1,reviewed,nc,nc
1978-12-18T20:05:48.760Z,36.1541667,-120.7196667,7.807,3.25,md,30,110,0.04505,0.08,nc,nc1043791,2016-12-15T23:21:30.540Z,"22 km NE of San Ardo, California",earthquake,0.34,0.53,0.11,20,reviewed,nc,nc
1978-12-18T12:48:13.670Z,34.9176667,-120.3845,0.09,2.59,mh,10,220,0.1753,0.46,ci,ci3314250,2016-02-01T21:38:15.370Z,"6km SE of Santa Maria, CA",earthquake,3.09,2.03,0.176,8,reviewed,ci,ci
1978-12-18T09:00:38.630Z,37.2733333,-116.4103333,0.7,3.23,mh,2,336,1.741,1.73,ci,ci10083626,2016-02-01T23:04:17.330Z,"51km NE of Beatty, NV",earthquake,36.01,31.61,0.287,13,reviewed,ci,ci
1978-12-18T07:59:29.560Z,37.3965,-121.7763333,2.272,3.25,md,57,74,0.04054,0.26,nc,nc1043784,2016-12-15T23:21:00.410Z,"4 km ENE of East Foothills, California",earthquake,0.33,1.13,0.15,21,reviewed,nc,nc
1978-12-17T20:51:13.780Z,37.2733333,-116.4103333,0.7,2.86,mh,2,347,1.741,0.1,ci,ci10083622,2016-02-01T21:20:43.530Z,"51km NE of Beatty, NV",earthquake,11.69,31.61,0.246,6,reviewed,ci,ci
1978-12-17T15:56:54.690Z,33.7418333,-116.0945,6.1,2.52,ml,48,55,,0.28,ci,ci3314236,2016-02-01T23:21:40.230Z,"10km NE of Coachella, CA",earthquake,0.37,1.66,0.25,3,reviewed,ci,ci
1978-12-16T14:54:19.350Z,37.1928333,-119.448,4.521,2.69,md,14,333,0.8766,0.89,nc,nc1043765,2016-12-15T23:19:37.503Z,"12 km NNE of Auberry, California",earthquake,11.28,8.24,0.07,3,reviewed,nc,nc
1978-12-16T11:17:31.270Z,40.9621667,-123.8996667,22.409,3.7,ml,11,152,0.127,0.06,nc,nc1043761,2016-12-15T23:19:21.430Z,"11 km NE of Blue Lake, California",earthquake,0.78,0.83,,0,reviewed,nc,nc
1978-12-16T05:08:19.310Z,36.5811667,-121.1761667,4.07,2.61,md,42,40,0.01261,0.05,nc,nc1043759,2016-12-15T23:19:13.716Z,"21 km NE of Soledad, California",earthquake,0.15,0.43,0.11,12,reviewed,nc,nc
1978-12-16T00:54:22.520Z,34.3748333,-119.7868333,11.17,2.61,mh,26,122,,0.41,ci,ci3314218,2016-02-01T21:20:40.520Z,"8km SSE of Goleta, CA",earthquake,0.89,1.02,0.176,9,reviewed,ci,ci
1978-12-15T12:27:57.640Z,33.873,-116.1728333,2.28,3.17,ml,66,27,,0.41,ci,ci3344025,2016-02-01T22:46:27.650Z,"17km NNE of Indio, CA",earthquake,0.38,1.06,0.203,7,reviewed,ci,ci
1978-12-15T03:36:57.180Z,33.8798333,-116.1701667,5.22,3.3,ml,68,28,,0.37,ci,ci3344019,2016-02-01T21:20:37.550Z,"18km NNE of Indio, CA",earthquake,0.39,1.12,0.19,7,reviewed,ci,ci
1978-12-15T03:01:20.770Z,38.817,-122.7946667,3.651,3.2,md,31,39,0.009009,0.05,nc,nc1043747,2016-12-15T23:18:34.190Z,"6 km W of Cobb, California",earthquake,0.18,0.34,0.13,20,reviewed,nc,nc
1978-12-15T00:50:45.850Z,33.8876667,-116.1776667,1.17,2.57,ml,47,40,,0.32,ci,ci3344018,2016-02-01T23:04:14.750Z,"19km N of Indio, CA",earthquake,0.36,0.85,0.232,2,reviewed,ci,ci
1978-12-14T08:55:20.340Z,34.3913333,-119.5055,15.56,3.24,ml,42,87,,0.38,ci,ci3344007,2016-02-01T22:11:24.280Z,"2km SE of Carpinteria, CA",earthquake,0.57,0.83,0.151,6,reviewed,ci,ci
1978-12-14T07:38:11.540Z,36.1913333,-120.7541667,6.586,3.1,ml,27,63,0.08559,0.11,nc,nc1043740,2016-12-15T23:18:06.222Z,"23 km NE of San Ardo, California",earthquake,0.3,0.72,,0,reviewed,nc,nc
1978-12-14T05:24:07.990Z,31.6625,-115.9241667,6,2.59,mh,2,338,0.9972,0.05,ci,ci9688954,2016-02-01T23:04:13.440Z,"61km E of Maneadero, B.C., MX",earthquake,2.06,31.61,0.255,5,reviewed,ci,ci
1978-12-14T02:34:24.280Z,32.1785,-115.0215,10,2.81,ml,9,281,0.5581,0.46,ci,ci3314208,2016-02-01T21:20:37.070Z,"2km SW of Estacion Coahuila, B.C., MX",earthquake,3.99,31.61,0.144,3,reviewed,ci,ci
