time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-12-31T20:47:03.160Z,35.925,-117.754,5.982,2.53,ml,0,60.4,0.05683,0.119,ci,ci9074792,2016-02-12T19:55:59.546Z,"14km E of Little Lake, California",earthquake,,1.162,,45,reviewed,ci,ci
1998-12-31T17:36:28.800Z,33.844,-117.089,15.396,2.6,ml,0,42.8,,0.156,ci,ci9074783,2016-02-11T23:44:50.346Z,"7km NE of Nuevo, California",earthquake,,0.258,,117,reviewed,ci,ci
1998-12-31T11:27:59.770Z,40.3855,-122.0935,15.898,3.03,md,23,107,0.1784,0.07,nc,nc30211808,2016-12-29T14:52:50.520Z,"15 km E of Cottonwood, California",earthquake,0.24,0.78,0.07,51,reviewed,nc,nc
1998-12-31T09:15:32.450Z,37.0943333,-122.0406667,9.729,3.09,md,93,135,0.07117,0.1,nc,nc30211799,2016-12-29T14:52:11.740Z,"Northern California",earthquake,0.17,0.3,0.08,122,reviewed,nc,nc
1998-12-30T18:48:35.170Z,33.763,-116.117,7.467,2.83,ml,0,47,,0.191,ci,ci9074737,2016-02-12T19:55:56.914Z,"10km ENE of Indio, California",earthquake,,1.109,,102,reviewed,ci,ci
1998-12-30T15:17:46.020Z,35.64,-117.486,9.517,2.87,ml,0,120.6,0.04065,0.173,ci,ci9074727,2016-02-11T23:44:47.613Z,"16km SSW of Searles Valley, California",earthquake,,0.651,,98,reviewed,ci,ci
1998-12-30T14:00:21.730Z,32.052,-116.286,5.675,2.6,ml,0,282.4,0.6148,0.26,ci,ci9074721,2016-02-13T08:33:32.795Z,"37km ENE of Ensenada, B.C., MX",earthquake,,,,26,reviewed,ci,ci
1998-12-30T12:22:35.970Z,35.999,-117.966,1.223,2.85,ml,0,56.7,,0.133,ci,ci9074718,2016-02-13T05:58:06.775Z,"5km SSW of Coso Junction, California",earthquake,,0.228,,71,reviewed,ci,ci
1998-12-30T05:01:33.350Z,38.7941667,-122.7773333,-0.019,2.67,md,15,51,0.01892,0.02,nc,nc40084478,2016-12-29T14:48:53.943Z,"5 km WSW of Cobb, California",earthquake,0.18,0.44,0.25,14,reviewed,nc,nc
1998-12-29T21:51:10.900Z,34.214,-118.626,2.4,2.54,ml,0,74.6,,0.249,ci,ci9074679,2016-02-11T21:10:23.400Z,"2km NW of Canoga Park, California",earthquake,,0.3,,99,reviewed,ci,ci
1998-12-29T13:42:40.810Z,36.073,-117.834,1.015,3.12,ml,0,81,,0.149,ci,ci9074665,2016-02-11T23:44:44.919Z,"11km ENE of Coso Junction, California",earthquake,,0.131,,116,reviewed,ci,ci
1998-12-29T13:36:31.410Z,31.973,-115.509,5.778,3.11,ml,0,251.6,0.699,0.355,ci,ci9074644,2016-02-12T17:20:33.703Z,"43km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,63,reviewed,ci,ci
1998-12-29T12:41:39.200Z,37.0973333,-122.0323333,9.949,3.8,mw,93,104,0.06757,0.1,nc,nc30211543,2016-12-29T14:45:20.620Z,"1 km ENE of Zayante, California",earthquake,0.18,0.32,,3,reviewed,nc,nc
1998-12-29T12:38:12.360Z,37.0946667,-122.0406667,9.969,3.7,mw,97,103,0.07027,0.1,nc,nc30211542,2016-12-29T14:44:37.070Z,"0 km NE of Zayante, California",earthquake,0.16,0.32,,2,reviewed,nc,nc
1998-12-29T10:01:21.780Z,37.0951667,-122.0378333,9.929,3.09,md,92,101,0.07027,0.09,nc,nc30211533,2016-12-29T14:43:36.180Z,"0 km NE of Zayante, California",earthquake,0.15,0.29,0.09,135,reviewed,nc,nc
1998-12-29T01:46:34.410Z,32.175,-115.027,5.963,3.18,ml,0,243.3,0.5508,0.379,ci,ci9074627,2016-02-12T17:20:28.782Z,"3km SW of Estacion Coahuila, B.C., MX",earthquake,,,,64,reviewed,ci,ci
1998-12-29T00:20:06.540Z,37.825,-115.973,5,4.1,ml,,,,0.59,us,usp00090a5,2016-02-13T00:57:50.719Z,"28 km NW of Rachel, Nevada",earthquake,,,,,reviewed,us,us
1998-12-28T22:37:36.620Z,25.662,-109.902,10,4.4,mb,,,,0.88,us,usp00090a0,2014-11-07T01:06:42.206Z,"59 km W of Campo Pesquero el Colorado, Mexico",earthquake,,,,11,reviewed,us,us
1998-12-28T20:29:30.000Z,38.5211667,-122.236,5.384,2.95,md,65,73,0.04685,0.18,nc,nc30211449,2016-12-29T14:41:00.430Z,"9 km NNW of Moskowite Corner, California",earthquake,0.15,0.39,0.13,79,reviewed,nc,nc
1998-12-27T23:22:40.160Z,25.608,-109.493,10,3.8,mb,,,,1.04,us,usp000908z,2014-11-07T01:06:42.088Z,"24 km SW of Campo Pesquero el Colorado, Mexico",earthquake,,,,3,reviewed,us,us
1998-12-27T10:31:49.070Z,38.6673333,-119.6,3.553,2.56,md,35,207,0.7261,0.06,nc,nc30211262,2016-12-29T14:36:01.590Z,"5 km WSW of Topaz Lake, Nevada",earthquake,0.4,3.22,0.14,27,reviewed,nc,nc
1998-12-26T18:31:22.880Z,38.8158333,-122.8045,4.33,3.02,md,48,35,0.01081,0.06,nc,nc30211147,2016-12-29T14:33:47.310Z,"7 km W of Cobb, California",earthquake,0.15,0.33,0.11,47,reviewed,nc,nc
1998-12-26T15:57:03.000Z,31.632,-116.499,5.094,2.7,mh,0,305.4,1.068,0.221,ci,ci9074447,2016-02-12T14:46:06.509Z,"11km SE of Maneadero, B.C., MX",earthquake,,,,0,reviewed,ci,ci
